raw_xpath,suggested_xpath,correct
/ownershipDocument/derivativeTab/derivativeHolding/expirationDate/value,/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/value,TRUE
/ownershipDocument/derivativeTab/derivativeHolding/securityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/value,TRUE
/ownershipDocument/n/nonDerivativeHolding/securityTitle/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTitle/value,TRUE
/ownershipDocument/nonDerivati/nonDerivativeHolding/securityTitle/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTitle/value,TRUE
/ownershipDocument/nonDerivativeHolding/securityTitle/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTitle/value,TRUE
/ownershipDocument/nonDerivativeTab/nonDerivativeHolding/securityTitle/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTitle/value,TRUE
/ownershipDocument/derivativeSecurity/underlyingSecurity/underlyingSecurityShare/value,/ownershipDocument/derivativeSecurity/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDa/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/footnoteId/@id,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecuritySh/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityT/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/securityTitl/value,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDat/value,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/value,TRUE
/ownershipDocument/footnote/footnote,/ownershipDocument/footnotes/footnote,TRUE
/ownershipDocument/derivativeSecurity/underlyingSecurity/underlyingSecuritySha/value,/ownershipDocument/derivativeSecurity/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecu/underlyingSecurityShares/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecu/underlyingSecurityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/nonDerivativeTable/nonDerivativeHold/securityTitle/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTitle/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDa/value,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurit/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/derivativeSecurity/securityTitl/value,/ownershipDocument/derivativeSecurity/securityTitle/value,TRUE
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTi/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTitle/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/ownershipN/directOrIndirectOwnership/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecur/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/nonDerivativeSecurity/transactionA/transactionShares/value,/ownershipDocument/nonDerivativeSecurity/transactionAmounts/transactionShares/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndi/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/footnoteId/@id,TRUE
/ownershipDocument/nonDerivativeSecurity/transactionAmounts/transactio/value,/ownershipDocument/nonDerivativeSecurity/transactionAmounts/transactionValue/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndi/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/ownerSignature/signatureDat,/ownershipDocument/ownerSignature/signatureDate,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/expirati/value,/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/valu,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/value,TRUE
/ownershipDocument/derivativeSecurity/ownershi/directOrIndirectOwnership/value,/ownershipDocument/derivativeSecurity/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/securit/value,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/value,TRUE
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securit/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/securityTitle/value,TRUE
/ownershipDocument/ownerSigna/signatureDate,/ownershipDocument/ownerSignature/signatureDate,TRUE
